key,wearit_col_qnum,wearit_col_ques,wearit_col_label,filenames
"Very Bad,1",Q_5092,How was your day?,deprecated,Evening_Survey
"Very Good,10",Q_5092,How was your day?,deprecated,Evening_Survey
"Very poor,0",Q_5093,Rate your OVERALL HEALTH <u>in the past 24 hours</u>.,overall_health,Evening_Survey
"Very good,10",Q_5093,Rate your OVERALL HEALTH <u>in the past 24 hours</u>.,overall_health,Evening_Survey
"Very bad,1",Q_5094,How is your OVERALL MOOD today?,overall_mood,Evening_Survey
"Very good,10",Q_5094,How is your OVERALL MOOD today?,overall_mood,Evening_Survey
"Not at all,1",Q_5095,How physically active was your day today?,physically_active,Evening_Survey
"Extremely,10",Q_5095,How physically active was your day today?,physically_active,Evening_Survey
"Yes,1",Q_5096,"Did you have trouble staying awake while driving, eating meals, or engaging in social activity during the day?",trouble_staying_awake,Evening_Survey
"No,2",Q_5096,"Did you have trouble staying awake while driving, eating meals, or engaging in social activity during the day?",trouble_staying_awake,Evening_Survey
"Yes,1",Q_5097,Did you have trouble to keep up enthusiasm to get things done during the day?,trouble_enthusiasm,Evening_Survey
"No,2",Q_5097,Did you have trouble to keep up enthusiasm to get things done during the day?,trouble_enthusiasm,Evening_Survey
"0,0",Q_5098,"For each of the beverages listed below, indicate the total amount you have had today. Use the unit <u>amount specified in parentheses to estimate the total amount</u>:",deprecated,Evening_Survey
"6+,6",Q_5098,"For each of the beverages listed below, indicate the total amount you have had today. Use the unit <u>amount specified in parentheses to estimate the total amount</u>:",deprecated,Evening_Survey
"0,0",Q_5098,"For each of the beverages listed below, indicate the total amount you have had today. Use the unit <u>amount specified in parentheses to estimate the total amount</u>:",deprecated,Evening_Survey
"6+,6",Q_5098,"For each of the beverages listed below, indicate the total amount you have had today. Use the unit <u>amount specified in parentheses to estimate the total amount</u>:",deprecated,Evening_Survey
"0,0",Q_5098,"For each of the beverages listed below, indicate the total amount you have had today. Use the unit <u>amount specified in parentheses to estimate the total amount</u>:",deprecated,Evening_Survey
"6+,6",Q_5098,"For each of the beverages listed below, indicate the total amount you have had today. Use the unit <u>amount specified in parentheses to estimate the total amount</u>:",deprecated,Evening_Survey
"0,0",Q_5098,"For each of the beverages listed below, indicate the total amount you have had today. Use the unit <u>amount specified in parentheses to estimate the total amount</u>:",deprecated,Evening_Survey
"6+,6",Q_5098,"For each of the beverages listed below, indicate the total amount you have had today. Use the unit <u>amount specified in parentheses to estimate the total amount</u>:",deprecated,Evening_Survey
"0,0",Q_5099,"For the beverage listed below, indicate the total amount you have had today. <u>Use the unit amount specified in parentheses to estimate the total amount</u>:",deprecated,Evening_Survey
"12+,12",Q_5099,"For the beverage listed below, indicate the total amount you have had today. <u>Use the unit amount specified in parentheses to estimate the total amount</u>:",deprecated,Evening_Survey
"We could afford to eat enough of the kinds of food we want to eat,1",Q_5100,Which statement best describe the food situation in your <i>HOUSEHOLD</i> <u>in the past 24 hours</u>?,deprecated,Evening_Survey
"We could afford to eat enough but not the kinds of we want to eat,2",Q_5100,Which statement best describe the food situation in your <i>HOUSEHOLD</i> <u>in the past 24 hours</u>?,deprecated,Evening_Survey
"We could not afford enough to eat,3",Q_5100,Which statement best describe the food situation in your <i>HOUSEHOLD</i> <u>in the past 24 hours</u>?,deprecated,Evening_Survey
"I worried about my food running out,1",Q_5101,Did any of the following statement about food situation occur to <i>YOU</i> <u>in the past 24 hours</u>? <i>Check all that apply.</i>,deprecated,Evening_Survey
"I did not eat balanced meals because there wasn't enough money for food,2",Q_5101,Did any of the following statement about food situation occur to <i>YOU</i> <u>in the past 24 hours</u>? <i>Check all that apply.</i>,deprecated,Evening_Survey
"I cut the size of my meals or skipped meals because there wasn't enough money for food,3",Q_5101,Did any of the following statement about food situation occur to <i>YOU</i> <u>in the past 24 hours</u>? <i>Check all that apply.</i>,deprecated,Evening_Survey
"I ate less than I felt I should because there wasn't enough money for food,4",Q_5101,Did any of the following statement about food situation occur to <i>YOU</i> <u>in the past 24 hours</u>? <i>Check all that apply.</i>,deprecated,Evening_Survey
"I was hungry but didn't eat because there wasn't enough money for food,5",Q_5101,Did any of the following statement about food situation occur to <i>YOU</i> <u>in the past 24 hours</u>? <i>Check all that apply.</i>,deprecated,Evening_Survey
"I did not eat for a whole day because there wasn't enough money for food,6",Q_5101,Did any of the following statement about food situation occur to <i>YOU</i> <u>in the past 24 hours</u>? <i>Check all that apply.</i>,deprecated,Evening_Survey
"None of the above,7",Q_5101,Did any of the following statement about food situation occur to <i>YOU</i> <u>in the past 24 hours</u>? <i>Check all that apply.</i>,deprecated,Evening_Survey
"An upset stomach or nausea,1",Q_5102,Did any of the following SYMPTOMS happen <u>in the past 24 hours</u>? <i>Check all that apply.</i>,symptoms,Evening_Survey
"Trouble sleeping,2",Q_5102,Did any of the following SYMPTOMS happen <u>in the past 24 hours</u>? <i>Check all that apply.</i>,symptoms,Evening_Survey
"Headache,3",Q_5102,Did any of the following SYMPTOMS happen <u>in the past 24 hours</u>? <i>Check all that apply.</i>,symptoms,Evening_Survey
"Muscle tension/aches,4",Q_5102,Did any of the following SYMPTOMS happen <u>in the past 24 hours</u>? <i>Check all that apply.</i>,symptoms,Evening_Survey
