key,wearit_col_qnum,wearit_col_ques,wearit_col_label,filenames
"No Response,-1",Q_5123,"There are several statements that people have made about their food situation. For these statements, please choose <b>ONE</b> option to identify how often the following occurred in <b>your household</b> in the <b><u>LAST 30 DAYS</u></b>.",deprecated,Monthly_Survey
"Never true,1",Q_5124,"In the <b>PAST four weeks</b>, we worried whether our food would run out before we got money to buy more.",food_run_out,Monthly_Survey
"Sometimes true,2",Q_5124,"In the <b>PAST four weeks</b>, we worried whether our food would run out before we got money to buy more.",food_run_out,Monthly_Survey
"Often true,3",Q_5124,"In the <b>PAST four weeks</b>, we worried whether our food would run out before we got money to buy more.",food_run_out,Monthly_Survey
"Don't know,4",Q_5124,"In the <b>PAST four weeks</b>, we worried whether our food would run out before we got money to buy more.",food_run_out,Monthly_Survey
"Never true,1",Q_5125,"In the <b>PAST four weeks</b>, the food that we bought just didn't last, and we didn't have money to get more.",food_did_not_last,Monthly_Survey
"Sometimes true,2",Q_5125,"In the <b>PAST four weeks</b>, the food that we bought just didn't last, and we didn't have money to get more.",food_did_not_last,Monthly_Survey
"Often true,3",Q_5125,"In the <b>PAST four weeks</b>, the food that we bought just didn't last, and we didn't have money to get more.",food_did_not_last,Monthly_Survey
"Don't know,4",Q_5125,"In the <b>PAST four weeks</b>, the food that we bought just didn't last, and we didn't have money to get more.",food_did_not_last,Monthly_Survey
"Never true,1",Q_5126,"In the <b>PAST four weeks</b>, we couldn't afford to eat balanced meals. <i>(By balanced meal, I mean a meal that includes all the types of food that you think should be in a healthy meal. For example, a starch like potatoes or rice, vegetables or fruit and some protein like meat, fish, cheese or eggs).</i>",balanced_meals,Monthly_Survey
"Sometimes true,2",Q_5126,"In the <b>PAST four weeks</b>, we couldn't afford to eat balanced meals. <i>(By balanced meal, I mean a meal that includes all the types of food that you think should be in a healthy meal. For example, a starch like potatoes or rice, vegetables or fruit and some protein like meat, fish, cheese or eggs).</i>",balanced_meals,Monthly_Survey
"Often true,3",Q_5126,"In the <b>PAST four weeks</b>, we couldn't afford to eat balanced meals. <i>(By balanced meal, I mean a meal that includes all the types of food that you think should be in a healthy meal. For example, a starch like potatoes or rice, vegetables or fruit and some protein like meat, fish, cheese or eggs).</i>",balanced_meals,Monthly_Survey
"Don't know,4",Q_5126,"In the <b>PAST four weeks</b>, we couldn't afford to eat balanced meals. <i>(By balanced meal, I mean a meal that includes all the types of food that you think should be in a healthy meal. For example, a starch like potatoes or rice, vegetables or fruit and some protein like meat, fish, cheese or eggs).</i>",balanced_meals,Monthly_Survey
"No Response,-1",Q_5147,Next please tell us whether or not the following food situations occurred to <u>you</u> in the <b>LAST 30 DAYS</b>:,deprecated,Monthly_Survey
"No,1",Q_5148,Did you ever <b>cut the size of your meals</b> or skip meals because there wasn't enough money for food?,skip_meals,Monthly_Survey
"Yes,2",Q_5148,Did you ever <b>cut the size of your meals</b> or skip meals because there wasn't enough money for food?,skip_meals,Monthly_Survey
"1,1",Q_5149,How many days did this happen?,skip_meals_days,Monthly_Survey
"30,30",Q_5149,How many days did this happen?,skip_meals_days,Monthly_Survey
"No,1",Q_5150,Did you ever <b>eat less</b> than you felt you should because there wasn't enough money for food?,eat_less,Monthly_Survey
"Yes,2",Q_5150,Did you ever <b>eat less</b> than you felt you should because there wasn't enough money for food?,eat_less,Monthly_Survey
"1,1",Q_5151,How many days did this happen?,eat_less_days,Monthly_Survey
"30,30",Q_5151,How many days did this happen?,eat_less_days,Monthly_Survey
"No,1",Q_5152,Were you <b>ever hungry</b> but didn't eat because there wasn't enough money for food?,hungry,Monthly_Survey
"Yes,2",Q_5152,Were you <b>ever hungry</b> but didn't eat because there wasn't enough money for food?,hungry,Monthly_Survey
"1,1",Q_5153,How many days did this happen?,hungry_days,Monthly_Survey
