key,wearit_col_qnum,wearit_col_ques,wearit_col_label,filenames
"No Response,-1",Q_5014,Please tell us how are you are feeling at <u>THE PRESENT MOMENT</u>. Use the sliding bars to describe how you feel regarding each common emotion.,deprecated,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
"Not at all,0",Q_5015,Do you feel ANXIOUS?,deprecated,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
"Extremely,10",Q_5015,Do you feel ANXIOUS?,deprecated,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
"Not at all,0",Q_5016,Do you feel HAPPY?,happy,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
"Extremely,10",Q_5016,Do you feel HAPPY?,happy,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
"Not at all,0",Q_5017,Do you feel LONELY?,lonely,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
"Extremely,10",Q_5017,Do you feel LONELY?,lonely,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
"Not at all,0",Q_5018,Do you feel HELPFUL?,helpful,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
"Extremely,10",Q_5018,Do you feel HELPFUL?,helpful,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
"Not at all,0",Q_5019,Do you feel ENERGETIC?,energetic,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
"Extremely,10",Q_5019,Do you feel ENERGETIC?,energetic,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
"Not at all,0",Q_5020,Do you feel ANNOYED?,annoyed,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
"Extremely,10",Q_5020,Do you feel ANNOYED?,annoyed,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
"Not at all,0",Q_5021,Do you feel CAREFREE?,carefree,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
"Extremely,10",Q_5021,Do you feel CAREFREE?,carefree,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
"Not at all,0",Q_5022,Do you feel FORGETFUL?,forgetful,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
"Extremely,10",Q_5022,Do you feel FORGETFUL?,forgetful,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
