wearit_uuid,m2c2_cogtask,participant_id,device_model,device_os,survey_date_submitted,survey_date_completed,first_char,format_valid,block_id,cogtask_all_params_checksum,interference_time,interference_page_targets,interference_size,trialset_id,cogtask_resource_checksum,block_num,trial_num,is_script,show_delay_time,cogtask_error,cogtask_type,cogtask_script,cogtask_fps,cogtask_cps,mem_free_total,user_answers,block_trial_num,dot_locations,cogtask_trial_params,interference_zip,mem_free_perc,time_stamp,response_time,interference_ratio,os,interference_text,trial_uuid,script_checksum,cogtask_name,interference_locations,cogtask_run_uuid,cogtask_display_name
D32E1597-4810-48CD-9A19-4AC4D6277F47,dotmemory,ruby-dj2nb,N/A,N/A,2022-01-18 16:11:20,2022-01-18 16:11:19,[,TRUE,1,8fd141670c29704b8fb28404a3dcc09a,8000,6,80,0,"{dotmemory.zip/target.png:92ef3ff5c19b30a04481f17eea0af7ec,dotmemory.zip/distractor.png:3b0021c1b1db868b476affc3ed0b40ef}",1,1,true,1000,,gamescript,dotmemory,59.80275142910987,59.80275142910987,NA, 3_2 3_3 4_4,0, 3_3 1_0 2_1,"{script:dotmemory,trialnum:3}",dotmemory.zip,NA,2022/01/18 16:06:54,1455,5,ios,Touch the F's!,c1916d71-f86b-4438-b0e0-0b70b48131a3,"{GList.js:48afd19d16e1f6eb786bf1d1d62f50a7,ErrorMan.js:539cd2c30aa2b5609ee615a040cdbca6,KPosition.js:a07b31f37c9cb1fa49a6b47bff376522,Tools.js:ca63e8aeadad3fb000f03128ed0b5770,KTime.js:875c9b3225ef5e83b5e6e0ba905a448b,GameEngine.js:61fa031fc10c8d55d04ff952c4d14db9,GImage.js:8a31b421f899c53c1d76057f7aa35dc3,GBox.js:9c44756dbeb2733973b0bc3ec7784187,KFile.js:5875df58116ef3e3aca293afdc753ec9,Sprite.js:cd811fc36d62ac5077fddf578c118bcf,KAlpha.js:fdac535470841697614a578b451f6d35,dotmemory_GLStim.js:979e5ec059c3d7d0dc577282f515569e,KTrigger.js:31a7f1594d1a91d6647bceb8dd933173,GColor.js:3f152bebb4545bcef5d255a594dc52e2,dotmemory.js:855075e8488769f0b6bccde54bdf310e,Entity.js:c946612f44aee711daf56d2e00ab0b20,GImage_Create.js:be4c9c66e36ca18ce3f2a33abc980330,GButton.js:a4b2cda308803649f182677b95c3c86a,ZipReader.js:c32b070eee4998f1adb1f0fedd3f2855,GameRunner.js:3b9eb2c089c515d04038c8908c65a664,GMap.js:6f664b3e3d5cef53b028ecbddde836b6,GameParams.js:490f208599f26a512a0603d6feb03909,Trial.js:ea19a3a882352e7a689d3cd43831bd2d,iosScriptHelper.js:3c70f9d2aa7011e89f530fb689aae7e3}",Dot Memory,829_0_0_6_1_89_682 1005_0_1_6_1_160_689 1373_0_2_5_0_238_536 1882_0_3_0_1_320_194 3145_0_0_2_1_80_363 3463_0_0_2_0_101_292 3463_0_1_2_0_101_292 4265_0_0_1_1_61_270 6573_0_1_4_0_163_504 6865_0_1_4_0_173_452 7568_0_1_3_1_168_452,03d53e4c-7990-4477-965a-93a0a0501a86,Dot Memory
D32E1597-4810-48CD-9A19-4AC4D6277F47,dotmemory,ruby-dj2nb,N/A,N/A,2022-01-18 16:11:20,2022-01-18 16:11:19,[,TRUE,1,8fd141670c29704b8fb28404a3dcc09a,8000,6,80,0,"{dotmemory.zip/target.png:92ef3ff5c19b30a04481f17eea0af7ec,dotmemory.zip/distractor.png:3b0021c1b1db868b476affc3ed0b40ef}",1,1,true,1000,,gamescript,dotmemory,59.80822363074923,59.80822363074923,NA, 3_2 3_3 3_4,0, 1_1 0_4 3_2,"{script:dotmemory,trialnum:3}",dotmemory.zip,NA,2022/01/18 16:07:19,10358,5,ios,Touch the F's!,bc8100a7-e510-4bd7-9bf3-785c3d5c2a9c,"{GList.js:48afd19d16e1f6eb786bf1d1d62f50a7,ErrorMan.js:539cd2c30aa2b5609ee615a040cdbca6,KPosition.js:a07b31f37c9cb1fa49a6b47bff376522,Tools.js:ca63e8aeadad3fb000f03128ed0b5770,KTime.js:875c9b3225ef5e83b5e6e0ba905a448b,GameEngine.js:61fa031fc10c8d55d04ff952c4d14db9,GImage.js:8a31b421f899c53c1d76057f7aa35dc3,GBox.js:9c44756dbeb2733973b0bc3ec7784187,KFile.js:5875df58116ef3e3aca293afdc753ec9,Sprite.js:cd811fc36d62ac5077fddf578c118bcf,KAlpha.js:fdac535470841697614a578b451f6d35,dotmemory_GLStim.js:979e5ec059c3d7d0dc577282f515569e,KTrigger.js:31a7f1594d1a91d6647bceb8dd933173,GColor.js:3f152bebb4545bcef5d255a594dc52e2,dotmemory.js:855075e8488769f0b6bccde54bdf310e,Entity.js:c946612f44aee711daf56d2e00ab0b20,GImage_Create.js:be4c9c66e36ca18ce3f2a33abc980330,GButton.js:a4b2cda308803649f182677b95c3c86a,ZipReader.js:c32b070eee4998f1adb1f0fedd3f2855,GameRunner.js:3b9eb2c089c515d04038c8908c65a664,GMap.js:6f664b3e3d5cef53b028ecbddde836b6,GameParams.js:490f208599f26a512a0603d6feb03909,Trial.js:ea19a3a882352e7a689d3cd43831bd2d,iosScriptHelper.js:3c70f9d2aa7011e89f530fb689aae7e3}",Dot Memory,528_0_0_7_1_70_764 962_0_3_7_1_312_753 1388_0_0_6_1_77_677 1841_0_4_5_1_389_609 2618_0_2_3_0_249_382 3303_0_3_0_1_320_210 3655_0_2_2_1_236_360,03d53e4c-7990-4477-965a-93a0a0501a86,Dot Memory
D32E1597-4810-48CD-9A19-4AC4D6277F47,dotmemory,ruby-dj2nb,N/A,N/A,2022-01-18 16:11:20,2022-01-18 16:11:19,[,TRUE,1,8fd141670c29704b8fb28404a3dcc09a,8000,6,80,0,"{dotmemory.zip/target.png:92ef3ff5c19b30a04481f17eea0af7ec,dotmemory.zip/distractor.png:3b0021c1b1db868b476affc3ed0b40ef}",1,1,true,1000,,gamescript,dotmemory,59.81040289385057,59.81040289385057,NA, 4_2 4_3 4_4,0, 0_4 1_3 2_0,"{script:dotmemory,trialnum:3}",dotmemory.zip,NA,2022/01/18 16:07:35,1781,5,ios,Touch the F's!,792dddd0-0b82-4a42-a280-62dd45419493,"{GList.js:48afd19d16e1f6eb786bf1d1d62f50a7,ErrorMan.js:539cd2c30aa2b5609ee615a040cdbca6,KPosition.js:a07b31f37c9cb1fa49a6b47bff376522,Tools.js:ca63e8aeadad3fb000f03128ed0b5770,KTime.js:875c9b3225ef5e83b5e6e0ba905a448b,GameEngine.js:61fa031fc10c8d55d04ff952c4d14db9,GImage.js:8a31b421f899c53c1d76057f7aa35dc3,GBox.js:9c44756dbeb2733973b0bc3ec7784187,KFile.js:5875df58116ef3e3aca293afdc753ec9,Sprite.js:cd811fc36d62ac5077fddf578c118bcf,KAlpha.js:fdac535470841697614a578b451f6d35,dotmemory_GLStim.js:979e5ec059c3d7d0dc577282f515569e,KTrigger.js:31a7f1594d1a91d6647bceb8dd933173,GColor.js:3f152bebb4545bcef5d255a594dc52e2,dotmemory.js:855075e8488769f0b6bccde54bdf310e,Entity.js:c946612f44aee711daf56d2e00ab0b20,GImage_Create.js:be4c9c66e36ca18ce3f2a33abc980330,GButton.js:a4b2cda308803649f182677b95c3c86a,ZipReader.js:c32b070eee4998f1adb1f0fedd3f2855,GameRunner.js:3b9eb2c089c515d04038c8908c65a664,GMap.js:6f664b3e3d5cef53b028ecbddde836b6,GameParams.js:490f208599f26a512a0603d6feb03909,Trial.js:ea19a3a882352e7a689d3cd43831bd2d,iosScriptHelper.js:3c70f9d2aa7011e89f530fb689aae7e3}",Dot Memory,3094_0_2_2_1_226_364 3479_0_4_2_1_384_372 3880_0_2_3_1_236_445 4215_0_0_4_1_89_515 4866_0_3_5_1_323_603 6555_0_0_1_1_81_287,03d53e4c-7990-4477-965a-93a0a0501a86,Dot Memory
2e4cf812-e0c6-4ea7-ba9d-1a680f34861e,dotmemory,embar-rq0cp,SM-G781U,12,2022-01-21 10:13:44,2022-01-21 10:10:58,[,TRUE,1,8fd141670c29704b8fb28404a3dcc09a,8000,6,80,1,"{:-1,/data/user/0/edu.psu.hhd.hdfs.jpm165.genericsurveyapp2/files/script/dotmemory/dotmemory.zip/distractor.png:3b0021c1b1db868b476affc3ed0b40ef,/data/user/0/edu.psu.hhd.hdfs.jpm165.genericsurveyapp2/files/script/dotmemory/dotmemory.zip/target.png:92ef3ff5c19b30a04481f17eea0af7ec}",1,1,true,1000,,script,dotmemory,118.08466670602822,59.868926019956305,NA, 1_1 2_2 4_4,0, 3_0 4_3 2_1,"{trialnum:3,script:dotmemory}",dotmemory.zip,NA,2022/01/21 10:09:19,2678,5,android,Touch the Fu0027s!,55852a34-fa03-4ff5-b790-60bc1e1884a4,"{GameEngine.js:61fa031fc10c8d55d04ff952c4d14db9,Tools.js:ca63e8aeadad3fb000f03128ed0b5770,GList.js:48afd19d16e1f6eb786bf1d1d62f50a7,KTime.js:875c9b3225ef5e83b5e6e0ba905a448b,ErrorMan.js:539cd2c30aa2b5609ee615a040cdbca6,GImage.js:8a31b421f899c53c1d76057f7aa35dc3,GColor.js:3f152bebb4545bcef5d255a594dc52e2,dotmemory.js:855075e8488769f0b6bccde54bdf310e,Entity.js:c946612f44aee711daf56d2e00ab0b20,KPosition.js:a07b31f37c9cb1fa49a6b47bff376522,KAlpha.js:fdac535470841697614a578b451f6d35,Sprite.js:cd811fc36d62ac5077fddf578c118bcf,GBox.js:9c44756dbeb2733973b0bc3ec7784187,GButton.js:a4b2cda308803649f182677b95c3c86a,GImage_Create.js:be4c9c66e36ca18ce3f2a33abc980330,ZipReader.js:c32b070eee4998f1adb1f0fedd3f2855,KFile.js:5875df58116ef3e3aca293afdc753ec9,dotmemory_GLStim.js:979e5ec059c3d7d0dc577282f515569e,dotmemory.json:cadc53fefa4f7c74d84c54035ea76297,GameRunner.js:3b9eb2c089c515d04038c8908c65a664,KTrigger.js:31a7f1594d1a91d6647bceb8dd933173,GMap.js:6f664b3e3d5cef53b028ecbddde836b6,GameParams.js:490f208599f26a512a0603d6feb03909,Trial.js:ea19a3a882352e7a689d3cd43831bd2d}",Dot Memory,1939_0_4_1_1_413_251 2217_0_3_1_1_333_270 2454_0_2_1_1_250_282 2955_0_1_1_1_175_263 3559_0_1_3_1_156_431 4721_0_2_6_1_237_661 6257_1_0_7_1_78_765 6740_1_4_7_1_407_754 7931_1_1_3_1_176_426,066a8d82-d897-4ec4-8a2b-2a672cce0852,Dot Memory
2e4cf812-e0c6-4ea7-ba9d-1a680f34861e,dotmemory,embar-rq0cp,SM-G781U,12,2022-01-21 10:13:44,2022-01-21 10:10:58,[,TRUE,1,8fd141670c29704b8fb28404a3dcc09a,8000,6,80,1,"{:-1,/data/user/0/edu.psu.hhd.hdfs.jpm165.genericsurveyapp2/files/script/dotmemory/dotmemory.zip/distractor.png:3b0021c1b1db868b476affc3ed0b40ef,/data/user/0/edu.psu.hhd.hdfs.jpm165.genericsurveyapp2/files/script/dotmemory/dotmemory.zip/target.png:92ef3ff5c19b30a04481f17eea0af7ec}",1,2,true,1000,,script,dotmemory,118.18124882570301,59.87348907120937,NA, 0_4 2_2 3_4,0, 1_4 3_1 0_3,"{trialnum:3,script:dotmemory}",dotmemory.zip,NA,2022/01/21 10:09:35,1515,5,android,Touch the Fu0027s!,c90cf7fd-b4d4-453a-8d38-ef2477ef3644,"{GameEngine.js:61fa031fc10c8d55d04ff952c4d14db9,Tools.js:ca63e8aeadad3fb000f03128ed0b5770,GList.js:48afd19d16e1f6eb786bf1d1d62f50a7,KTime.js:875c9b3225ef5e83b5e6e0ba905a448b,ErrorMan.js:539cd2c30aa2b5609ee615a040cdbca6,GImage.js:8a31b421f899c53c1d76057f7aa35dc3,GColor.js:3f152bebb4545bcef5d255a594dc52e2,dotmemory.js:855075e8488769f0b6bccde54bdf310e,Entity.js:c946612f44aee711daf56d2e00ab0b20,KPosition.js:a07b31f37c9cb1fa49a6b47bff376522,KAlpha.js:fdac535470841697614a578b451f6d35,Sprite.js:cd811fc36d62ac5077fddf578c118bcf,GBox.js:9c44756dbeb2733973b0bc3ec7784187,GButton.js:a4b2cda308803649f182677b95c3c86a,GImage_Create.js:be4c9c66e36ca18ce3f2a33abc980330,ZipReader.js:c32b070eee4998f1adb1f0fedd3f2855,KFile.js:5875df58116ef3e3aca293afdc753ec9,dotmemory_GLStim.js:979e5ec059c3d7d0dc577282f515569e,dotmemory.json:cadc53fefa4f7c74d84c54035ea76297,GameRunner.js:3b9eb2c089c515d04038c8908c65a664,KTrigger.js:31a7f1594d1a91d6647bceb8dd933173,GMap.js:6f664b3e3d5cef53b028ecbddde836b6,GameParams.js:490f208599f26a512a0603d6feb03909,Trial.js:ea19a3a882352e7a689d3cd43831bd2d}",Dot Memory,1123_0_0_4_1_88_517 1372_0_0_3_1_84_434 2100_0_3_0_1_319_188 2527_0_3_1_1_313_278 2827_0_3_2_1_320_341 3571_0_3_6_1_323_664 5256_1_3_6_1_319_682 5740_1_3_5_1_316_586 5983_1_2_4_1_250_509 6396_1_3_3_1_338_427 6932_1_2_0_1_190_207 7168_1_2_0_0_205_190 7547_1_1_0_1_163_203,066a8d82-d897-4ec4-8a2b-2a672cce0852,Dot Memory
2e4cf812-e0c6-4ea7-ba9d-1a680f34861e,dotmemory,embar-rq0cp,SM-G781U,12,2022-01-21 10:13:44,2022-01-21 10:10:58,[,TRUE,1,8fd141670c29704b8fb28404a3dcc09a,8000,6,80,1,"{:-1,/data/user/0/edu.psu.hhd.hdfs.jpm165.genericsurveyapp2/files/script/dotmemory/dotmemory.zip/distractor.png:3b0021c1b1db868b476affc3ed0b40ef,/data/user/0/edu.psu.hhd.hdfs.jpm165.genericsurveyapp2/files/script/dotmemory/dotmemory.zip/target.png:92ef3ff5c19b30a04481f17eea0af7ec}",1,3,true,1000,,script,dotmemory,118.08606680710203,59.82545892266025,NA, 0_4 2_1 3_3,0, 2_1 0_3 4_2,"{trialnum:3,script:dotmemory}",dotmemory.zip,NA,2022/01/21 10:09:52,2348,5,android,Touch the Fu0027s!,76e3fdc9-0ffb-49a9-b059-e146fbe1447b,"{GameEngine.js:61fa031fc10c8d55d04ff952c4d14db9,Tools.js:ca63e8aeadad3fb000f03128ed0b5770,GList.js:48afd19d16e1f6eb786bf1d1d62f50a7,KTime.js:875c9b3225ef5e83b5e6e0ba905a448b,ErrorMan.js:539cd2c30aa2b5609ee615a040cdbca6,GImage.js:8a31b421f899c53c1d76057f7aa35dc3,GColor.js:3f152bebb4545bcef5d255a594dc52e2,dotmemory.js:855075e8488769f0b6bccde54bdf310e,Entity.js:c946612f44aee711daf56d2e00ab0b20,KPosition.js:a07b31f37c9cb1fa49a6b47bff376522,KAlpha.js:fdac535470841697614a578b451f6d35,Sprite.js:cd811fc36d62ac5077fddf578c118bcf,GBox.js:9c44756dbeb2733973b0bc3ec7784187,GButton.js:a4b2cda308803649f182677b95c3c86a,GImage_Create.js:be4c9c66e36ca18ce3f2a33abc980330,ZipReader.js:c32b070eee4998f1adb1f0fedd3f2855,KFile.js:5875df58116ef3e3aca293afdc753ec9,dotmemory_GLStim.js:979e5ec059c3d7d0dc577282f515569e,dotmemory.json:cadc53fefa4f7c74d84c54035ea76297,GameRunner.js:3b9eb2c089c515d04038c8908c65a664,KTrigger.js:31a7f1594d1a91d6647bceb8dd933173,GMap.js:6f664b3e3d5cef53b028ecbddde836b6,GameParams.js:490f208599f26a512a0603d6feb03909,Trial.js:ea19a3a882352e7a689d3cd43831bd2d}",Dot Memory,629_0_3_7_1_312_742 1023_0_2_5_1_241_608 1445_0_2_4_0_238_454 2378_0_3_0_1_321_190 2750_0_2_3_1_229_426 3185_0_4_0_1_400_188 3682_0_1_1_1_150_274 5234_1_1_6_1_151_677 5477_1_2_6_1_241_680 6057_1_1_4_1_161_501 6519_1_3_2_1_326_338 7332_1_0_0_1_88_187,066a8d82-d897-4ec4-8a2b-2a672cce0852,Dot Memory
f3fc0ab3-840f-4174-a73f-938431e17256,dotmemory,brio-k9g9p,Pixel 2 XL,11,2022-01-18 18:08:29,2022-01-18 18:08:28,[,TRUE,1,8fd141670c29704b8fb28404a3dcc09a,8000,6,80,1,"{:-1,/data/user/0/edu.psu.hhd.hdfs.jpm165.genericsurveyapp2/files/script/dotmemory/dotmemory.zip/distractor.png:3b0021c1b1db868b476affc3ed0b40ef,/data/user/0/edu.psu.hhd.hdfs.jpm165.genericsurveyapp2/files/script/dotmemory/dotmemory.zip/target.png:92ef3ff5c19b30a04481f17eea0af7ec}",1,1,true,1000,,script,dotmemory,59.25122775687225,59.9528031124434,NA, 1_2 2_1 3_4,0, 0_2 1_0 4_3,"{trialnum:3,script:dotmemory}",dotmemory.zip,NA,2022/01/18 18:06:35,1362,5,android,Touch the Fu0027s!,2ca66a7a-28be-4660-aca3-8b11c8b71599,"{GameEngine.js:61fa031fc10c8d55d04ff952c4d14db9,Tools.js:ca63e8aeadad3fb000f03128ed0b5770,GList.js:48afd19d16e1f6eb786bf1d1d62f50a7,KTime.js:875c9b3225ef5e83b5e6e0ba905a448b,ErrorMan.js:539cd2c30aa2b5609ee615a040cdbca6,GImage.js:8a31b421f899c53c1d76057f7aa35dc3,GColor.js:3f152bebb4545bcef5d255a594dc52e2,dotmemory.js:855075e8488769f0b6bccde54bdf310e,Entity.js:c946612f44aee711daf56d2e00ab0b20,KPosition.js:a07b31f37c9cb1fa49a6b47bff376522,KAlpha.js:fdac535470841697614a578b451f6d35,Sprite.js:cd811fc36d62ac5077fddf578c118bcf,GBox.js:9c44756dbeb2733973b0bc3ec7784187,GButton.js:a4b2cda308803649f182677b95c3c86a,GImage_Create.js:be4c9c66e36ca18ce3f2a33abc980330,ZipReader.js:c32b070eee4998f1adb1f0fedd3f2855,KFile.js:5875df58116ef3e3aca293afdc753ec9,dotmemory_GLStim.js:979e5ec059c3d7d0dc577282f515569e,dotmemory.json:cadc53fefa4f7c74d84c54035ea76297,GameRunner.js:3b9eb2c089c515d04038c8908c65a664,KTrigger.js:31a7f1594d1a91d6647bceb8dd933173,GMap.js:6f664b3e3d5cef53b028ecbddde836b6,GameParams.js:490f208599f26a512a0603d6feb03909,Trial.js:ea19a3a882352e7a689d3cd43831bd2d}",Dot Memory,2939_0_4_2_1_404_369,0da2c282-358e-4ddd-b4c8-9c51d4ef54c7,Dot Memory
f3fc0ab3-840f-4174-a73f-938431e17256,dotmemory,brio-k9g9p,Pixel 2 XL,11,2022-01-18 18:08:29,2022-01-18 18:08:28,[,TRUE,1,8fd141670c29704b8fb28404a3dcc09a,8000,6,80,1,"{:-1,/data/user/0/edu.psu.hhd.hdfs.jpm165.genericsurveyapp2/files/script/dotmemory/dotmemory.zip/distractor.png:3b0021c1b1db868b476affc3ed0b40ef,/data/user/0/edu.psu.hhd.hdfs.jpm165.genericsurveyapp2/files/script/dotmemory/dotmemory.zip/target.png:92ef3ff5c19b30a04481f17eea0af7ec}",1,2,true,1000,,script,dotmemory,59.38411669367909,60.22690437601296,NA, 2_3 3_1 4_4,0, 4_3 3_4 2_1,"{trialnum:3,script:dotmemory}",dotmemory.zip,NA,2022/01/18 18:06:50,1159,5,android,Touch the Fu0027s!,f5435730-0acf-482e-9824-a4993a55704b,"{GameEngine.js:61fa031fc10c8d55d04ff952c4d14db9,Tools.js:ca63e8aeadad3fb000f03128ed0b5770,GList.js:48afd19d16e1f6eb786bf1d1d62f50a7,KTime.js:875c9b3225ef5e83b5e6e0ba905a448b,ErrorMan.js:539cd2c30aa2b5609ee615a040cdbca6,GImage.js:8a31b421f899c53c1d76057f7aa35dc3,GColor.js:3f152bebb4545bcef5d255a594dc52e2,dotmemory.js:855075e8488769f0b6bccde54bdf310e,Entity.js:c946612f44aee711daf56d2e00ab0b20,KPosition.js:a07b31f37c9cb1fa49a6b47bff376522,KAlpha.js:fdac535470841697614a578b451f6d35,Sprite.js:cd811fc36d62ac5077fddf578c118bcf,GBox.js:9c44756dbeb2733973b0bc3ec7784187,GButton.js:a4b2cda308803649f182677b95c3c86a,GImage_Create.js:be4c9c66e36ca18ce3f2a33abc980330,ZipReader.js:c32b070eee4998f1adb1f0fedd3f2855,KFile.js:5875df58116ef3e3aca293afdc753ec9,dotmemory_GLStim.js:979e5ec059c3d7d0dc577282f515569e,dotmemory.json:cadc53fefa4f7c74d84c54035ea76297,GameRunner.js:3b9eb2c089c515d04038c8908c65a664,KTrigger.js:31a7f1594d1a91d6647bceb8dd933173,GMap.js:6f664b3e3d5cef53b028ecbddde836b6,GameParams.js:490f208599f26a512a0603d6feb03909,Trial.js:ea19a3a882352e7a689d3cd43831bd2d}",Dot Memory,1906_0_-1_-1_-1_429_578 2408_0_2_1_0_237_283 2408_0_2_2_0_237_283 2860_0_1_3_0_153_376 3497_0_4_5_1_394_595 3867_0_3_4_1_324_518 4620_0_2_4_1_235_523 6889_0_1_2_1_181_356,0da2c282-358e-4ddd-b4c8-9c51d4ef54c7,Dot Memory
f3fc0ab3-840f-4174-a73f-938431e17256,dotmemory,brio-k9g9p,Pixel 2 XL,11,2022-01-18 18:08:29,2022-01-18 18:08:28,[,TRUE,1,8fd141670c29704b8fb28404a3dcc09a,8000,6,80,1,"{:-1,/data/user/0/edu.psu.hhd.hdfs.jpm165.genericsurveyapp2/files/script/dotmemory/dotmemory.zip/distractor.png:3b0021c1b1db868b476affc3ed0b40ef,/data/user/0/edu.psu.hhd.hdfs.jpm165.genericsurveyapp2/files/script/dotmemory/dotmemory.zip/target.png:92ef3ff5c19b30a04481f17eea0af7ec}",1,3,true,1000,,script,dotmemory,59.43019208456878,60.20368699239397,NA, 0_3 2_2 4_0,0, 4_2 3_3 0_1,"{trialnum:3,script:dotmemory}",dotmemory.zip,NA,2022/01/18 18:07:06,1265,5,android,Touch the Fu0027s!,bf81949e-502b-4672-baf1-7fd2cbf9f27e,"{GameEngine.js:61fa031fc10c8d55d04ff952c4d14db9,Tools.js:ca63e8aeadad3fb000f03128ed0b5770,GList.js:48afd19d16e1f6eb786bf1d1d62f50a7,KTime.js:875c9b3225ef5e83b5e6e0ba905a448b,ErrorMan.js:539cd2c30aa2b5609ee615a040cdbca6,GImage.js:8a31b421f899c53c1d76057f7aa35dc3,GColor.js:3f152bebb4545bcef5d255a594dc52e2,dotmemory.js:855075e8488769f0b6bccde54bdf310e,Entity.js:c946612f44aee711daf56d2e00ab0b20,KPosition.js:a07b31f37c9cb1fa49a6b47bff376522,KAlpha.js:fdac535470841697614a578b451f6d35,Sprite.js:cd811fc36d62ac5077fddf578c118bcf,GBox.js:9c44756dbeb2733973b0bc3ec7784187,GButton.js:a4b2cda308803649f182677b95c3c86a,GImage_Create.js:be4c9c66e36ca18ce3f2a33abc980330,ZipReader.js:c32b070eee4998f1adb1f0fedd3f2855,KFile.js:5875df58116ef3e3aca293afdc753ec9,dotmemory_GLStim.js:979e5ec059c3d7d0dc577282f515569e,dotmemory.json:cadc53fefa4f7c74d84c54035ea76297,GameRunner.js:3b9eb2c089c515d04038c8908c65a664,KTrigger.js:31a7f1594d1a91d6647bceb8dd933173,GMap.js:6f664b3e3d5cef53b028ecbddde836b6,GameParams.js:490f208599f26a512a0603d6feb03909,Trial.js:ea19a3a882352e7a689d3cd43831bd2d}",Dot Memory,1460_0_1_7_1_161_732 1931_0_4_6_1_389_673 2550_0_2_4_1_259_509 3027_0_4_0_1_416_190 3840_0_2_5_1_251_581 5372_0_0_1_1_87_276 7532_1_1_2_1_165_344 7858_1_0_1_1_87_275,0da2c282-358e-4ddd-b4c8-9c51d4ef54c7,Dot Memory
f2079809-030f-419b-bafa-2cfb1b662eaa,dotmemory,embar-rq0cp,SM-G781U,12,2022-02-14 12:13:30,2022-02-14 12:13:28,[,TRUE,1,f33589234df5ff66a7944cc000272fc0,8000,6,80,1,"{:-1,/data/user/0/edu.psu.hhd.hdfs.jpm165.genericsurveyapp2/files/script/dotmemory/dotmemory.zip/distractor.png:3b0021c1b1db868b476affc3ed0b40ef,/data/user/0/edu.psu.hhd.hdfs.jpm165.genericsurveyapp2/files/script/dotmemory/dotmemory.zip/target.png:92ef3ff5c19b30a04481f17eea0af7ec}",1,1,true,1000,,script,dotmemory,118.05994688250917,59.88364740103705,NA, 1_3 2_1 4_4,0, 3_3 1_4 2_2,"{instructions:full_instructions,trialnum:3,script:dotmemory}",dotmemory.zip,NA,2022/02/14 12:11:10,1555,5,android,Touch the Fu0027s!,e4cfa2f9-106f-4361-97f7-80f9e1929917,"{GameEngine.js:61fa031fc10c8d55d04ff952c4d14db9,Tools.js:ca63e8aeadad3fb000f03128ed0b5770,GList.js:48afd19d16e1f6eb786bf1d1d62f50a7,KTime.js:875c9b3225ef5e83b5e6e0ba905a448b,ErrorMan.js:539cd2c30aa2b5609ee615a040cdbca6,GImage.js:8a31b421f899c53c1d76057f7aa35dc3,GColor.js:3f152bebb4545bcef5d255a594dc52e2,dotmemory.js:855075e8488769f0b6bccde54bdf310e,Entity.js:c946612f44aee711daf56d2e00ab0b20,KPosition.js:a07b31f37c9cb1fa49a6b47bff376522,KAlpha.js:fdac535470841697614a578b451f6d35,Sprite.js:cd811fc36d62ac5077fddf578c118bcf,GBox.js:9c44756dbeb2733973b0bc3ec7784187,GButton.js:a4b2cda308803649f182677b95c3c86a,GImage_Create.js:be4c9c66e36ca18ce3f2a33abc980330,ZipReader.js:c32b070eee4998f1adb1f0fedd3f2855,KFile.js:5875df58116ef3e3aca293afdc753ec9,dotmemory_GLStim.js:979e5ec059c3d7d0dc577282f515569e,dotmemory.json:5a0799913d0251514576e5386beb0cfc,GameRunner.js:3b9eb2c089c515d04038c8908c65a664,KTrigger.js:31a7f1594d1a91d6647bceb8dd933173,GMap.js:6f664b3e3d5cef53b028ecbddde836b6,GameParams.js:490f208599f26a512a0603d6feb03909,Trial.js:ea19a3a882352e7a689d3cd43831bd2d}",Dot Memory,1096_0_4_5_0_345_592 1318_0_2_5_1_260_588 2171_0_-1_-1_-1_425_321 2594_0_4_0_1_397_202 2877_0_4_2_1_399_339 3321_0_3_5_1_327_582 5447_0_1_0_1_167_181 6187_0_1_4_1_164_504,11f8c95d-4962-4c4d-b747-f14c0ee439ba,Dot Memory
