skim_type,skim_variable,n_missing,complete_rate,character.min,character.max,character.empty,character.n_unique,character.whitespace,POSIXct.min,POSIXct.max,POSIXct.median,POSIXct.n_unique,filenames
character,Participant ID,0,1,10,11,0,10,0,NA,NA,NA,NA,Evening_Survey
character,Q_5200,0,1,3,5,0,8,0,NA,NA,NA,NA,Evening_Survey
character,Q_5286,0,1,3,5,0,5,0,NA,NA,NA,NA,Evening_Survey
character,Q_5307,0,1,3,3,0,1,0,NA,NA,NA,NA,Evening_Survey
character,Q_5447,0,1,3,3,0,1,0,NA,NA,NA,NA,Evening_Survey
character,Q_5092,0,1,3,5,0,2,0,NA,NA,NA,NA,Evening_Survey
character,Q_5104,0,1,3,5,0,3,0,NA,NA,NA,NA,Evening_Survey
character,Q_5093,0,1,3,5,0,7,0,NA,NA,NA,NA,Evening_Survey
character,Q_5448,0,1,3,3,0,1,0,NA,NA,NA,NA,Evening_Survey
character,Q_5105,0,1,1,10,0,6,0,NA,NA,NA,NA,Evening_Survey
character,Q_5094,0,1,3,5,0,8,0,NA,NA,NA,NA,Evening_Survey
character,Q_5106,0,1,3,26,0,5,0,NA,NA,NA,NA,Evening_Survey
character,Q_5107,0,1,3,3,0,1,0,NA,NA,NA,NA,Evening_Survey
character,Q_5095,0,1,3,5,0,9,0,NA,NA,NA,NA,Evening_Survey
character,Q_5096,0,1,1,3,0,3,0,NA,NA,NA,NA,Evening_Survey
character,Q_5097,0,1,1,3,0,3,0,NA,NA,NA,NA,Evening_Survey
character,Q_5201,0,1,3,43,0,12,0,NA,NA,NA,NA,Evening_Survey
character,Q_5098,0,1,3,43,0,2,0,NA,NA,NA,NA,Evening_Survey
character,Q_5202,0,1,3,11,0,9,0,NA,NA,NA,NA,Evening_Survey
character,Q_5099,0,1,3,11,0,2,0,NA,NA,NA,NA,Evening_Survey
character,Q_5203,0,1,1,3,0,4,0,NA,NA,NA,NA,Evening_Survey
character,Q_5100,0,1,1,3,0,2,0,NA,NA,NA,NA,Evening_Survey
character,Q_5243,0,1,1,5,0,8,0,NA,NA,NA,NA,Evening_Survey
character,Q_5101,0,1,1,3,0,3,0,NA,NA,NA,NA,Evening_Survey
character,Q_5102,0,1,1,11,0,13,0,NA,NA,NA,NA,Evening_Survey
character,Q_5103,0,1,1,3,0,3,0,NA,NA,NA,NA,Evening_Survey
character,Q_5108,0,1,3,12,0,9,0,NA,NA,NA,NA,Evening_Survey
character,Q_5109,3,0.8571428571428572,3,3,0,1,0,NA,NA,NA,NA,Evening_Survey
character,Q_5122,0,1,3,5,0,8,0,NA,NA,NA,NA,Evening_Survey
character,Q_5110,0,1,3,3,0,1,0,NA,NA,NA,NA,Evening_Survey
character,Q_5298,0,1,3,5,0,4,0,NA,NA,NA,NA,Evening_Survey
character,Q_5111,0,1,3,5,0,7,0,NA,NA,NA,NA,Evening_Survey
character,Q_5469,0,1,3,4,0,3,0,NA,NA,NA,NA,Evening_Survey
character,Q_5112,0,1,3,5,0,7,0,NA,NA,NA,NA,Evening_Survey
character,Q_5113,0,1,3,5,0,7,0,NA,NA,NA,NA,Evening_Survey
character,External ID,0,1,3,3,0,1,0,NA,NA,NA,NA,Evening_Survey
character,Alert Times,0,1,3,3,0,1,0,NA,NA,NA,NA,Evening_Survey
character,Model,0,1,3,10,0,5,0,NA,NA,NA,NA,Evening_Survey
character,OS,0,1,1,3,0,4,0,NA,NA,NA,NA,Evening_Survey
POSIXct,Survey Date Submitted,0,1,NA,NA,NA,NA,NA,2022-01-04T15:54:02Z,2022-02-08T14:28:28Z,2022-01-10T15:04:38Z,20,Evening_Survey
POSIXct,Survey Date Completed,0,1,NA,NA,NA,NA,NA,2022-01-04T15:54:00Z,2022-02-08T14:28:29Z,2022-01-10T15:04:37Z,20,Evening_Survey
