skim_type,skim_variable,n_missing,complete_rate,character.min,character.max,character.empty,character.n_unique,character.whitespace,POSIXct.min,POSIXct.max,POSIXct.median,POSIXct.n_unique,filenames
character,bort-ww3rq,0,1,10,11,0,19,0,NA,NA,NA,NA,Intake_Survey
character,Q_5142,0,1,3,4,0,3,0,NA,NA,NA,NA,Intake_Survey
character,Q_5257,0,1,3,4,0,12,0,NA,NA,NA,NA,Intake_Survey
character,Q_5143,0,1,3,4,0,11,0,NA,NA,NA,NA,Intake_Survey
character,External ID,0,1,3,3,0,1,0,NA,NA,NA,NA,Intake_Survey
character,Alert Times,0,1,3,19,0,2,0,NA,NA,NA,NA,Intake_Survey
character,Model,0,1,3,10,0,7,0,NA,NA,NA,NA,Intake_Survey
character,OS,0,1,1,8,0,6,0,NA,NA,NA,NA,Intake_Survey
POSIXct,2022-01-04 14:21:12,0,1,NA,NA,NA,NA,NA,2022-01-05T16:58:42Z,2022-02-09T19:19:30Z,2022-01-18T16:23:45Z,24,Intake_Survey
POSIXct,2022-01-04 14:21:11,0,1,NA,NA,NA,NA,NA,2022-01-05T16:58:41Z,2022-02-09T19:19:30Z,2022-01-18T16:23:45Z,24,Intake_Survey
