skim_type,skim_variable,n_missing,complete_rate,character.min,character.max,character.empty,character.n_unique,character.whitespace,POSIXct.min,POSIXct.max,POSIXct.median,POSIXct.n_unique,filenames
character,Participant ID,0,1,10,11,0,3,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5238,0,1,3,22,0,2,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5214,0,1,3,23,0,2,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5207,0,1,3,3,0,1,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5206,0,1,3,3,0,1,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5205,0,1,3,3,0,1,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5219,0,1,3,3,0,1,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5236,0,1,3,3,0,1,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5237,0,1,3,3,0,1,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5276,0,1,3,11,0,6,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5147,0,1,3,3,0,1,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5291,0,1,3,3,0,1,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5292,0,1,3,3,0,1,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5123,0,1,3,3,0,1,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5266,0,1,3,5,0,2,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5239,0,1,3,22,0,2,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5124,0,1,1,3,0,3,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5277,0,1,3,11,0,6,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5220,0,1,3,3,0,1,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5287,0,1,1,13,0,6,0,NA,NA,NA,NA,Monthly_Survey
character,Q_5215,0,1,3,23,0,2,0,NA,NA,NA,NA,Monthly_Survey
