skim_type,skim_variable,n_missing,complete_rate,character.min,character.max,character.empty,character.n_unique,character.whitespace,POSIXct.min,POSIXct.max,POSIXct.median,POSIXct.n_unique,filenames
character,Participant ID,0,1,10,11,0,9,0,NA,NA,NA,NA,Morning_Survey
character,Q_4974,0,1,3,7,0,20,0,NA,NA,NA,NA,Morning_Survey
character,Q_5306,4,0.8709677419354839,3,3,0,1,0,NA,NA,NA,NA,Morning_Survey
character,Q_5445,0,1,3,3,0,1,0,NA,NA,NA,NA,Morning_Survey
character,Q_4975,0,1,3,7,0,19,0,NA,NA,NA,NA,Morning_Survey
character,Q_5446,0,1,3,3,0,1,0,NA,NA,NA,NA,Morning_Survey
character,Q_4976,0,1,1,3,0,4,0,NA,NA,NA,NA,Morning_Survey
character,Q_4977,0,1,3,5,0,9,0,NA,NA,NA,NA,Morning_Survey
character,Q_4978,0,1,1,13,0,10,0,NA,NA,NA,NA,Morning_Survey
character,Q_4979,0,1,2,16,0,6,0,NA,NA,NA,NA,Morning_Survey
character,Q_4980,0,1,1,3,0,3,0,NA,NA,NA,NA,Morning_Survey
character,Q_4981,0,1,1,3,0,5,0,NA,NA,NA,NA,Morning_Survey
character,Q_4982,0,1,1,3,0,4,0,NA,NA,NA,NA,Morning_Survey
character,External ID,0,1,3,3,0,1,0,NA,NA,NA,NA,Morning_Survey
character,Alert Times,0,1,3,19,0,14,0,NA,NA,NA,NA,Morning_Survey
character,Model,0,1,3,10,0,6,0,NA,NA,NA,NA,Morning_Survey
character,OS,0,1,1,8,0,5,0,NA,NA,NA,NA,Morning_Survey
POSIXct,Survey Date Submitted,0,1,NA,NA,NA,NA,NA,2022-01-04T15:00:06Z,2022-02-17T10:19:13Z,2022-01-25T12:43:52Z,31,Morning_Survey
POSIXct,Survey Date Completed,0,1,NA,NA,NA,NA,NA,2022-01-04T15:00:04Z,2022-02-17T10:19:13Z,2022-01-31T15:04:28Z,31,Morning_Survey
