skim_type,skim_variable,n_missing,complete_rate,character.min,character.max,character.empty,character.n_unique,character.whitespace,numeric.mean,numeric.sd,numeric.p0,numeric.p25,numeric.p50,numeric.p75,numeric.p100,numeric.hist,POSIXct.min,POSIXct.max,POSIXct.median,POSIXct.n_unique,filenames
character,Participant ID,0,1,10,11,0,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5014,22,0.5686274509803921,3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5449,16,0.6862745098039216,3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5308,16,0.6862745098039216,3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5299,16,0.6862745098039216,3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5144,16,0.6862745098039216,3,5,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5035,22,0.5686274509803921,3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5015,16,0.6862745098039216,3,5,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5450,16,0.6862745098039216,3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5161,20,0.607843137254902,3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5159,16,0.6862745098039216,3,5,0,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5036,16,0.6862745098039216,3,36,0,34,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5016,16,0.6862745098039216,3,5,0,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5037,16,0.6862745098039216,3,36,0,31,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5474,16,0.6862745098039216,3,36,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5160,20,0.607843137254902,3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5038,16,0.6862745098039216,3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5017,16,0.6862745098039216,3,5,0,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5018,16,0.6862745098039216,3,5,0,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5039,16,0.6862745098039216,3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5019,16,0.6862745098039216,3,5,0,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5020,16,0.6862745098039216,3,5,0,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5021,16,0.6862745098039216,3,5,0,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5022,16,0.6862745098039216,3,5,0,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5023,16,0.6862745098039216,3,5,0,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5024,16,0.6862745098039216,3,5,0,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5025,16,0.6862745098039216,3,5,0,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5026,16,0.6862745098039216,3,5,0,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
character,Q_5027,16,0.6862745098039216,3,5,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notified_Survey_1,Notified_Survey_2,Notified_Survey_3"
