Survey Date Submitted,Survey Date Completed,Participant ID,Q_5200,Q_5286,Q_5307,Q_5447,Q_5092,Q_5104,Q_5093,Q_5448,Q_5105,Q_5094,Q_5106,Q_5107,Q_5095,Q_5096,Q_5097,Q_5201,Q_5098,Q_5202,Q_5099,Q_5203,Q_5100,Q_5243,Q_5101,Q_5102,Q_5103,Q_5108,Q_5109,Q_5122,Q_5110,Q_5298,Q_5111,Q_5469,Q_5112,Q_5113,External ID,Alert Times,Model,OS
2022-01-04T15:54:02Z,2022-01-04T15:54:00Z,bort-ww3rq,N/A,N/A,N/A,N/A,10.00,10.00,10.00,N/A,11,10.00,other,N/A,10.00,1,1,N/A,"32919:6.00,32921:6.00,32923:6.00,32925:6.00",N/A,32927:12.00,N/A,1,N/A,6,14,1,10.00,N/A,10.00,N/A,N/A,10.00,N/A,10.00,10.00,N/A,N/A,N/A,N/A
2022-01-04T15:57:09Z,2022-01-04T15:57:07Z,bort-ww3rq,1.00,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,1.00,N/A,N/A,1.00,2,2,"33216:0.00,33218:0.00,33220:0.00,33222:0.00",N/A,33224:0.00,N/A,1,N/A,N/A,7,"1,2,3,4",2,1.00,N/A,1.00,N/A,N/A,1.00,N/A,1.00,1.00,N/A,N/A,N/A,N/A
2022-01-06T14:17:14Z,2022-01-06T14:17:13Z,bort-ww3rq,10.00,N/A,N/A,N/A,N/A,N/A,10.00,N/A,N/A,10.00,N/A,N/A,10.00,2,2,"33216:6.00,33218:6.00,33220:6.00,33222:6.00",N/A,33224:12.00,N/A,3,N/A,N/A,7,15,2,10.00,N/A,10.00,N/A,N/A,10.00,N/A,10.00,10.00,N/A,N/A,N/A,N/A
2022-01-06T14:55:31Z,2022-01-06T14:55:30Z,bort-ww3rq,10.00,N/A,N/A,N/A,N/A,N/A,10.00,N/A,N/A,10.00,N/A,N/A,5.50,2,2,"33216:4.00,33218:4.00,33220:5.00,33222:4.00",N/A,33224:8.00,N/A,3,N/A,7,N/A,15,2,250784529.00,N/A,8.00,N/A,N/A,5.50,N/A,8.00,8.00,N/A,N/A,N/A,N/A
2022-01-06T15:30:24Z,2022-01-06T15:30:23Z,samp-2hj6a,6.00,N/A,N/A,N/A,N/A,N/A,6.00,N/A,N/A,5.00,N/A,N/A,10.00,2,1,"33216:1.00,33218:5.00,33220:4.00,33222:2.00",N/A,33224:9.00,N/A,2,N/A,5,N/A,"13,12",2,7.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022-01-06T15:55:36Z,2022-01-06T15:55:35Z,crits-kg16s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.44,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022-01-06T16:13:53Z,2022-01-06T16:13:53Z,crits-kg16s,6.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.00,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022-01-06T16:13:53Z,2022-01-06T16:13:53Z,crits-kg16s,6.93,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022-01-06T16:23:46Z,2022-01-06T16:23:45Z,bort-ww3rq,9.00,N/A,N/A,N/A,N/A,7.00,7.00,N/A,3,8.00,N/A,N/A,8.00,2,2,"33216:4.00,33218:5.00,33220:5.00,33222:4.00",N/A,33224:8.00,N/A,3,N/A,1,N/A,1,1,5.00,N/A,8.00,N/A,N/A,7.00,N/A,8.00,8.00,N/A,N/A,N/A,N/A
2022-01-06T16:27:12Z,2022-01-06T16:27:11Z,bort-ww3rq,10.00,N/A,N/A,N/A,N/A,N/A,10.00,N/A,N/A,10.00,N/A,N/A,10.00,2,2,"33216:6.00,33218:6.00,33220:6.00,33222:6.00",N/A,33224:12.00,N/A,3,N/A,7,N/A,15,2,8.00,N/A,10.00,N/A,N/A,10.00,N/A,10.00,10.00,N/A,N/A,N/A,N/A
