Survey Date Submitted,Survey Date Completed,Participant ID,Q_5238,Q_5214,Q_5207,Q_5206,Q_5205,Q_5219,Q_5236,Q_5237,Q_5276,Q_5147,Q_5291,Q_5292,Q_5123,Q_5266,Q_5239,Q_5124,Q_5277,Q_5220,Q_5287,Q_5215,Q_5148,Q_5208,Q_5209,Q_5125,Q_5216,Q_5278,Q_5149,Q_5221,Q_5267,Q_5240,Q_5210,Q_5126,Q_5279,Q_5150,Q_5268,Q_5241,Q_5217,Q_5222,Q_5269,Q_5211,Q_5280,Q_5218,Q_5151,Q_5242,Q_5223,Q_5281,Q_5152,Q_5224,Q_5212,Q_5270,Q_5153,Q_5282,Q_5213,Q_5225,Q_5271,Q_5226,Q_5154,Q_5283,Q_5272,Q_5227,Q_5284,Q_5273,Q_5288,Q_5289,Q_5155,Q_5285,Q_5274,Q_5228,Q_5156,Q_5229,Q_5157,Q_5275,Q_5158,Q_5230,Q_5231,Q_5232,Q_5233,Q_5234,Q_5235,External ID,Alert Times,Model,OS
2022-01-04T16:43:01Z,2022-01-04T16:43:00Z,bort-ww3rq,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,2,N/A,N/A,1,N/A,N/A,29.00,N/A,N/A,N/A,N/A,1,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30.00,N/A,N/A,N/A,2,N/A,N/A,N/A,30.00,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30.00,N/A,N/A,N/A,2,N/A,30.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022-01-05T17:22:12Z,2022-01-05T17:22:10Z,bort-ww3rq,N/A,"33398:12.00,33400:12.00",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,"33402:12.00,33404:12.00",2,1,1,1,"33408:12.00,33406:12.00",N/A,30.00,1,N/A,N/A,1,1,N/A,2,N/A,N/A,"33410:12.0,33412:12.0",1,N/A,1,N/A,"33414:12.0,33416:12.0",30.00,N/A,1,N/A,2,1,1,N/A,30.00,N/A,1,1,N/A,1,2,N/A,N/A,1,N/A,N/A,N/A,N/A,30.00,N/A,N/A,1,2,1,30.00,N/A,N/A,1,1,1,1,1,1,N/A,N/A,N/A,N/A
2022-01-05T17:26:13Z,2022-01-05T17:26:12Z,bort-ww3rq,"33480:0.00,33482:24.00",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"33484:0.00,33486:24.00",4,N/A,N/A,N/A,N/A,1,5,5,4,N/A,N/A,N/A,2,N/A,"33488:0.00,33490:24.00",5,4,N/A,1,N/A,"33492:0.00,33494:24.00",N/A,2,N/A,5,N/A,N/A,N/A,"33496:0.00,33498:24.00",2,N/A,1,2,5,N/A,N/A,N/A,5,2,N/A,2,1,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,2,N/A,N/A,N/A,2,2,2,2,2,2,N/A,N/A,N/A,N/A
2022-01-14T15:58:42Z,2022-01-14T15:58:41Z,faced-rx75a,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33807:24.00,N/A,N/A,N/A,N/A,"1,2,3",N/A,1,33809:12.00,N/A,N/A,N/A,1,1,1,1,N/A,33811:24.00,N/A,1,1,N/A,1,1,33813:12.00,1,1,N/A,N/A,1,1,1,33815:24.00,N/A,N/A,N/A,1,33817:12.0,1,1,1,1,N/A,33819:23.00,1,1,1,1,1,33821:12.0,1,1,33823:23.00,1,N/A,N/A,N/A,33825:12.0,1,1,1,1,N/A,1,N/A,1,1,1,1,1,1,N/A,N/A,N/A,N/A
2022-01-14T16:01:53Z,2022-01-14T16:01:52Z,faced-rx75a,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33807:0.00,N/A,N/A,N/A,N/A,N/A,N/A,4,33809:6.00,N/A,10,N/A,2,5,5,4,N/A,33811:0.00,30.00,2,6,N/A,5,4,33813:6.00,2,6,N/A,N/A,2,6,5,33815:0.00,N/A,30.00,N/A,2,33817:6.00,2,2,5,6,30.00,33819:0.00,5,2,6,2,2,33821:6.00,6,2,33823:0.00,N/A,6,N/A,30.00,33825:6.00,6,2,2,2,30.00,6,N/A,2,2,2,2,2,2,N/A,N/A,N/A,N/A
2022-01-14T16:42:48Z,2022-01-14T16:42:47Z,faced-rx75a,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,5,N/A,2,N/A,N/A,4,N/A,N/A,19.00,N/A,4,N/A,N/A,4,N/A,1,4,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,6,N/A,N/A,N/A,N/A,6,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022-01-14T16:47:35Z,2022-01-14T16:47:34Z,faced-rx75a,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33807:12.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33809:12.0,N/A,"5,7",N/A,1,4,4,3,N/A,33811:12.0,N/A,1,1,N/A,4,2,33813:12.0,1,1,N/A,N/A,1,1,4,33815:12.0,N/A,N/A,N/A,1,33817:12.0,1,1,4,1,N/A,33819:12.0,4,1,1,1,1,33821:12.0,1,1,33823:12.0,N/A,N/A,1,N/A,33825:12.0,1,1,1,1,N/A,1,N/A,1,1,1,1,1,2,N/A,N/A,N/A,N/A
2022-01-17T13:00:12Z,2022-01-17T13:00:11Z,faced-rx75a,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022-01-17T14:02:45Z,2022-01-17T14:02:45Z,faced-rx75a,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33807:17.00,N/A,N/A,N/A,N/A,N/A,N/A,1,33809:16.00,N/A,"3,4,5,6,7,8,9",N/A,2,1,1,1,N/A,33811:20.00,24.00,1,1,N/A,1,1,33813:19.00,2,1,N/A,N/A,1,1,1,33815:19.00,N/A,25.00,N/A,1,33817:18.00,2,1,1,1,22.00,33819:18.00,1,1,1,1,2,33821:19.00,1,1,33823:18.00,N/A,N/A,1,21.00,33825:20.00,1,1,2,1,24.00,1,N/A,1,1,1,1,1,1,N/A,N/A,N/A,N/A
2022-01-18T15:50:17Z,2022-01-18T15:50:16Z,kepi-dz1yh,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33807:4.00,N/A,N/A,N/A,N/A,N/A,N/A,4,33809:13.00,N/A,8,N/A,2,3,3,3,N/A,33811:4.00,26.00,2,2,N/A,3,4,33813:6.00,1,2,N/A,N/A,1,3,2,33815:8.00,N/A,N/A,N/A,2,33817:12.00,1,2,2,2,N/A,33819:10.00,4,1,3,2,2,33821:10.00,6,2,33823:8.00,N/A,N/A,4,25.00,33825:4.00,3,2,2,2,6.00,3,N/A,2,2,2,2,2,2,N/A,N/A,SM-G991U,12
