Survey Date Submitted,Survey Date Completed,Participant ID,Q_4974,Q_5306,Q_5445,Q_4975,Q_5446,Q_4976,Q_4977,Q_4978,Q_4979,Q_4980,Q_4981,Q_4982,External ID,Alert Times,Model,OS
2022-01-04T15:00:06Z,2022-01-04T15:00:04Z,bort-ww3rq,720.00,N/A,N/A,726.00,N/A,4,10.00,15,other,1,1,1,N/A,N/A,N/A,N/A
2022-01-10T14:59:03Z,2022-01-10T14:59:03Z,favus-1j7i7,865,N/A,N/A,1113,N/A,1,10.00,15,"""other response""",1,1,1,N/A,N/A,N/A,N/A
2022-01-10T15:27:35Z,2022-01-10T15:27:34Z,favus-1j7i7,1440,N/A,N/A,1440,N/A,1,9.62,1,N/A,1,1,1,N/A,N/A,N/A,N/A
2022-01-14T15:18:25Z,2022-01-14T15:18:25Z,dated-h4f3m,1437.00,N/A,N/A,1440.00,N/A,4,10.00,14,N/A,2,4,4,N/A,N/A,N/A,N/A
2022-01-18T15:14:27Z,2022-01-18T15:14:26Z,kepi-dz1yh,714.00,N/A,N/A,438.00,N/A,4,6.00,"2,4",N/A,2,2,1,N/A,N/A,SM-G991U,12
2022-01-25T12:37:26Z,2022-01-26T09:01:28Z,ensue-ch7rp,720,N/A,N/A,720,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2022-01-26 09:00:00,"iPhone12,1",iOS 15.1
2022-01-25T12:38:15Z,2022-01-27T09:01:36Z,ensue-ch7rp,720,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2022-01-27 09:00:00,"iPhone12,1",iOS 15.1
2022-01-25T12:39:57Z,2022-01-28T09:00:24Z,ensue-ch7rp,720,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2022-01-28 09:00:00,"iPhone12,1",iOS 15.1
2022-01-25T12:40:25Z,2022-01-29T09:00:21Z,ensue-ch7rp,720,N/A,N/A,720,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2022-01-29 09:00:00,"iPhone12,1",iOS 15.1
2022-01-25T12:40:59Z,2022-01-30T09:00:26Z,ensue-ch7rp,720,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2022-01-30 09:00:00,"iPhone12,1",iOS 15.1
